time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low,label,n_news,avg_news_compound
1572307200,111,325,256,175.97550000000007,-46.60189999999999,129.56249999999986,857,2175,1732,1202.7707999999984,-334.1798000000001,869.6128000000012,ETH,182.14,191.02,192.81,184.6,-1,3,0.27969649206349206
1572393600,132,306,173,181.07450000000009,-60.73549999999999,120.28610000000003,943,1941,901,1174.8116999999995,-473.2168000000003,700.9701999999992,ETH,191.02,183.31,188.26,182.3,-1,1,-0.3715
1572480000,142,414,223,239.2868000000001,-65.92849999999997,173.29600000000008,686,2253,897,1346.002199999998,-310.6955999999998,1035.4308,ETH,183.31,182.51,184.43,179.67,1,1,-0.04375
1572566400,117,284,125,164.19490000000005,-52.89039999999999,111.27429999999984,580,1532,716,908.2773000000003,-247.7151,660.566,ETH,182.51,183.45,185.67,181.79,-1,2,-0.26987222222222224
1572652800,74,187,139,102.40779999999987,-37.8089,64.59169999999996,421,1065,734,582.3292,-240.11280000000005,342.1876000000001,ETH,183.45,183.26,184.94,182.52,-1,2,0.28837916666666663
1572739200,104,234,115,123.61589999999985,-52.7142,70.9076999999999,467,1106,502,627.9581000000002,-256.25440000000003,371.1648000000001,ETH,183.26,182.03,183.42,181.02,1,0,0.0
1572825600,113,370,226,211.95910000000006,-45.21619999999999,166.7491000000002,558,2838,1313,1832.0509999999977,-214.65759999999986,1617.4057999999982,ETH,182.03,186.26,189.84,185.23,1,1,-0.042485714285714286
1572912000,121,325,177,187.53910000000008,-50.25880000000002,137.33370000000005,710,1877,1064,1122.0993,-316.2922999999998,806.1087999999994,ETH,186.26,188.99,191.32,183.68,1,2,0.21607857142857143
1572998400,125,369,234,208.91550000000015,-56.0291,152.94349999999997,677,2372,1329,1349.3377000000025,-293.8473999999999,1055.2405,ETH,188.99,191.25,193.4,188.91,-1,1,0.3596
1573084800,117,302,198,170.72809999999984,-49.67600000000001,120.91429999999977,643,1488,1029,840.9997000000012,-280.2276999999999,560.8535000000005,ETH,191.25,186.47,188.87,185.64,-1,1,0.18058333333333335
1573171200,134,371,207,205.01740000000004,-60.87069999999999,144.21740000000003,627,1955,1084,1118.4392000000012,-283.5173000000001,834.9895000000005,ETH,186.47,183.6,183.96,176.76,1,3,-0.07347420357420355
1573257600,66,171,118,96.6514,-30.0197,66.65239999999997,368,1015,767,582.2530999999998,-185.6231,395.7992999999999,ETH,183.6,185.18,185.71,183.33,1,0,0.0
1573344000,77,209,132,119.99639999999992,-38.64989999999999,81.2873999999999,474,1309,865,775.1654999999997,-244.90640000000008,529.3296999999999,ETH,185.18,189.33,194.85,188.52,-1,2,0.25235833333333335
1573430400,97,255,183,140.9223999999999,-46.9087,94.01419999999996,505,1537,822,918.8914,-252.3837000000001,666.4834000000009,ETH,189.33,184.74,187.18,182.38,1,1,-0.06143333333333334
1573516800,91,246,139,145.3505,-37.62579999999998,107.84609999999996,495,1657,667,1064.5368000000008,-199.238,866.1007999999991,ETH,184.74,187.06,188.82,186.18,1,2,0.2764854166666667
1573603200,105,298,191,173.23520000000005,-45.23219999999998,127.89539999999994,815,2237,1192,1328.371099999999,-390.7980999999997,937.1085000000007,ETH,187.06,188.02,189.25,185.48,-1,2,-0.04552333333333336
1573689600,97,330,159,183.37829999999985,-42.70669999999999,140.74669999999986,581,1750,822,1006.5683000000013,-291.6121000000001,715.9384000000003,ETH,188.02,184.73,185.86,183.35,-1,1,0.017562500000000005
1573776000,119,336,202,192.6107,-51.44189999999999,141.02750000000003,532,1810,1125,1008.7380000000003,-238.7166,769.6763999999995,ETH,184.73,179.96,181.99,177.67,1,5,-0.06267692063492065
1573862400,55,154,116,88.93359999999998,-22.3379,66.66919999999992,323,909,632,544.9522000000002,-125.53319999999997,419.5726000000003,ETH,179.96,182.64,183.75,180.43,1,2,0.42812261904761906
1573948800,57,178,109,94.25869999999996,-23.7991,70.51119999999997,415,1106,571,593.4560999999992,-174.59790000000004,419.5031999999998,ETH,182.64,184.1,184.95,181.8,-1,1,0.2677125
1574035200,110,365,209,211.71100000000007,-45.60079999999999,166.24970000000016,549,1982,1079,1217.6219999999996,-219.91579999999985,998.2421000000003,ETH,184.1,178.14,178.38,175.68,-1,2,0.2807125
1574121600,135,311,227,169.51229999999995,-62.42640000000002,107.05129999999987,822,1650,1112,897.988100000001,-382.41959999999983,515.2540999999999,ETH,178.14,175.93,177.07,173.98,-1,2,0.15197750000000002
1574208000,121,280,193,163.49129999999997,-51.09149999999997,112.38149999999992,520,1432,1030,867.5882,-206.9294,659.9295,ETH,175.93,174.66,176.6,173.77,-1,4,0.35496850490196086
1574294400,245,426,320,239.80850000000007,-111.44260000000004,128.3828999999997,1433,2730,1755,1579.8449999999978,-678.4290999999995,900.9649000000012,ETH,174.66,161.12,165.47,159.14,-1,0,0.0
1574380800,355,549,443,296.7172000000004,-162.47139999999987,134.20239999999978,1916,2859,1948,1570.8287999999998,-931.4534000000012,638.6491999999993,ETH,161.12,150.0,154.67,148.18,1,3,0.01897777777777776
1574467200,117,264,154,148.67539999999997,-53.14149999999997,95.59919999999997,464,1637,937,968.8541000000008,-189.6779,781.3345000000012,ETH,150.0,152.44,154.49,149.72,-1,0,0.0
1574553600,142,275,153,154.41359999999992,-58.88559999999997,95.54210000000003,802,1458,811,783.5584000000006,-338.5648000000004,445.25259999999986,ETH,152.44,140.47,145.25,140.13,1,1,0.04375897435897436
1574640000,282,482,374,258.2893000000003,-124.80699999999992,133.61509999999984,1925,2789,1935,1476.0093000000006,-882.6350999999994,593.6462999999992,ETH,140.47,146.33,150.12,143.69,1,3,-0.018213888888888887
