time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low
1571875200,1009,1821,1102,1009.8713000000018,-478.22279999999904,531.6327000000005,4348,6814,4136,3766.199799999987,-2155.231399999999,1611.7061000000015,BTC,7479.54,7444.2,7524.31,7370.13
1571961600,1022,1786,1287,951.8603000000014,-481.86819999999926,469.82979999999884,5130,8171,5851,4395.490899999993,-2322.921800000001,2072.897599999996,BTC,7444.2,8671.1,8783.85,7431.2
1572048000,1123,1772,1606,939.0508999999998,-530.4575,408.8703000000007,5860,8351,7643,4468.408999999999,-2783.3800000000024,1687.8228999999947,BTC,8671.1,9258.98,10380.48,8654.84
1572134400,726,1374,994,716.0272000000001,-346.75120000000004,369.42980000000006,2697,5324,3520,2776.3337999999994,-1293.0437999999986,1484.216700000006,BTC,9258.98,9550.6,9805.42,9114.58
1572220800,723,1416,809,765.0848999999989,-334.6571000000003,431.1004999999998,2762,5373,3060,2892.0092999999974,-1317.8360000000027,1579.535499999994,BTC,9550.6,9222.23,9934.71,9201.49
1572307200,800,1419,847,788.6116999999998,-380.76219999999984,407.6186999999999,3240,5689,3368,3173.78789999999,-1531.956099999999,1641.0539000000033,BTC,9222.23,9432.86,9565.11,9099.36
1572393600,854,1503,1000,814.4489000000036,-409.3434999999998,405.08309999999915,3646,5793,3629,3222.9844999999873,-1673.7022999999995,1549.6918000000053,BTC,9432.86,9169.86,9441.8,9018.3
1572480000,722,1279,857,703.230000000001,-350.7716999999998,352.4013000000002,3064,4711,3602,2551.7688999999946,-1503.110500000002,1048.6843000000015,BTC,9169.86,9157.52,9423.16,8972
1572566400,595,1112,743,608.9245000000006,-283.3532999999994,326.0619000000006,2512,4484,3432,2479.698199999998,-1189.7998000000018,1290.250499999998,BTC,9157.52,9260.59,9308.62,9072.62
1572652800,719,1215,774,666.6204000000004,-350.336,316.2207000000001,2855,5055,3145,2928.2111999999925,-1489.941699999999,1437.8271999999981,BTC,9260.59,9311.99,9400.44,9223.46
1572739200,525,1006,596,564.8786999999999,-243.92939999999948,320.84560000000045,1888,4140,2185,2361.6601000000073,-927.8814000000037,1433.0592999999985,BTC,9311.99,9221.61,9396.1,9108.22
1572825600,803,1599,897,910.4116000000018,-384.4290999999996,526.155099999999,4386,9029,3846,4939.136700000001,-2150.1919000000034,2788.8696999999884,BTC,9221.61,9421.54,9578.74,9141
1572912000,970,1638,897,902.3381000000003,-467.3806999999994,435.06259999999946,4394,5971,3431,3267.6947999999925,-2203.3646000000003,1065.1157999999964,BTC,9421.54,9323.61,9495.36,9196.64
1572998400,788,1455,834,792.5117000000005,-373.91389999999944,418.76559999999967,3858,6286,3432,3318.390599999993,-1949.0884999999994,1369.5689999999965,BTC,9323.61,9347.27,9455.53,9269.82
1573084800,795,1394,773,760.2171000000016,-389.0366999999997,371.1647999999999,3281,5784,3380,3147.81639999999,-1567.313400000001,1581.6057999999916,BTC,9347.27,9208.52,9382.63,9114.14
1573171200,781,1382,853,719.6399000000015,-373.0301999999998,347.0675999999996,3681,5831,3481,3076.5933999999984,-1601.9131999999997,1476.1352000000015,BTC,9208.52,8772.31,9263.83,8682.74
1573257600,575,1056,678,582.6411000000004,-288.29349999999994,294.2444000000001,2535,4863,3175,2777.5398999999966,-1321.8378000000012,1456.1352999999983,BTC,8772.31,8822.19,8881.08,8732.62
1573344000,544,1040,600,564.0889000000003,-277.02530000000013,287.06159999999943,2339,4876,2577,2753.8533999999954,-1192.1364999999996,1561.3855000000037,BTC,8822.19,9045.85,9126.98,8767.94
1573430400,679,1324,711,727.0161999999995,-335.2326,391.9632999999997,2653,5276,2948,2959.9267999999915,-1280.3722000000014,1680.9134000000008,BTC,9045.85,8726.31,9084.49,8619.78
1573516800,692,1323,759,728.3414999999997,-341.0235999999995,387.37630000000024,2638,5482,3799,3103.626499999998,-1337.3057000000017,1766.8963999999978,BTC,8726.31,8815.14,8868.85,8576.09
1573603200,627,1246,716,691.1332000000019,-305.8370999999998,385.4413999999997,3261,5015,2567,2895.6219999999958,-1575.368100000001,1321.7157999999963,BTC,8815.14,8773.82,8840.33,8721.68
1573689600,848,1496,828,825.9463000000023,-423.5464999999995,402.3244999999996,3270,7351,3133,4234.041399999986,-1648.4006999999972,2584.865099999992,BTC,8773.82,8640.42,8811.04,8584.92
1573776000,818,1434,874,791.2131000000005,-397.86259999999993,393.80210000000005,3625,6232,3967,3499.699899999992,-1793.4544999999978,1707.9435999999944,BTC,8640.42,8468.57,8773.4,8393.29
1573862400,600,1016,719,544.0990000000005,-280.5222999999997,263.51650000000075,2719,5006,3367,2683.9414999999863,-1301.7853000000011,1382.3101999999988,BTC,8468.57,8498.94,8539.42,8442.03
1573948800,566,1112,691,611.1190000000008,-266.6285000000001,344.32149999999945,2949,5529,2911,2899.326699999998,-1415.5688999999998,1482.442099999999,BTC,8498.94,8515.28,8641.12,8411.3
