time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low,label
1572998400,56,107,69,53.87299999999996,-26.544300000000003,27.328700000000005,371,485,307,245.80719999999997,-183.11810000000008,62.68910000000001,LTC,63.23,64.1,64.85,62.48,-1
1573084800,81,159,94,84.91179999999993,-42.38889999999998,42.672700000000006,224,527,260,279.2429000000001,-117.3761,162.2393999999999,LTC,64.1,61.28,63.24,60.55,-1
1573171200,66,89,52,49.96629999999999,-33.87179999999999,16.094500000000004,398,377,183,191.3769,-186.36469999999997,5.0122000000000195,LTC,61.28,60.87,61.83,59.42,1
1573257600,27,79,45,50.05069999999999,-11.2067,38.83990000000001,136,334,126,197.9868,-81.05829999999997,116.92029999999993,LTC,60.87,62.49,62.77,60.59,1
1573344000,65,81,77,45.50219999999998,-26.9782,18.5756,276,329,321,181.4462,-117.19569999999992,64.35369999999998,LTC,62.49,63.54,65.31,62.24,-1
1573430400,17,32,18,15.384299999999998,-7.011200000000001,8.373099999999997,78,196,64,101.0272,-31.37800000000001,69.64919999999998,LTC,63.54,62.13,62.92,60.34,-1
1573516800,13,46,33,26.184999999999995,-4.2413,21.9437,57,196,99,113.8066,-17.135100000000005,96.67150000000002,LTC,62.13,61.31,63.35,60.5,-1
1573603200,11,22,22,9.967,-5.344000000000001,4.622999999999998,36,144,81,89.93939999999998,-17.363400000000002,72.57600000000001,LTC,61.31,60.89,62.51,60.23,-1
1573689600,24,77,27,42.64139999999999,-11.933399999999995,30.7596,76,306,109,160.1623000000001,-39.4032,120.86230000000002,LTC,60.93,58.94,60.07,58.79,-1
1573776000,36,53,30,26.12,-17.432999999999996,8.649799999999999,165,228,111,121.40299999999998,-74.09820000000002,47.127199999999924,LTC,58.94,57.59,59.09,56.22,1
1573862400,23,59,24,31.532299999999992,-9.3987,22.133599999999994,118,216,76,117.37909999999994,-56.9132,60.465899999999955,LTC,57.72,58.4,59.07,57.54,1
1573948800,28,43,11,23.3497,-12.8313,10.57,148,261,50,145.73789999999997,-65.5066,80.43769999999994,LTC,58.4,59.68,59.98,58.43,-1
