Unnamed: 0,time,neg_ns,pos_ns,neutral_ns,comp_ns,neg_s,pos_s,neu_s,comp_s,coin,open,close,high,low,submissions,label,n_news,avg_news_compound
59,1572393600,854,1503,1000,405.08309999999915,3646,5793,3629,1549.6918000000053,BTC,9432.86,9169.86,9441.8,9018.3,301,-1,7,0.16731226911976912
60,1572480000,722,1279,857,352.40130000000016,3064,4711,3602,1048.6843000000017,BTC,9169.86,9157.52,9423.16,8972.0,286,1,17,0.05558727317787369
61,1572566400,595,1112,743,326.0619000000006,2512,4484,3432,1290.250499999998,BTC,9157.52,9260.59,9308.62,9072.62,278,1,11,-0.0531267896497442
62,1572652800,719,1215,774,316.22070000000014,2855,5055,3145,1437.827199999998,BTC,9260.59,9311.99,9400.44,9223.46,244,-1,6,0.2107574404761905
63,1572739200,525,1006,596,320.84560000000045,1888,4140,2185,1433.0592999999985,BTC,9311.99,9221.61,9396.1,9108.22,168,1,8,-0.06445998688811189
64,1572825600,803,1599,897,526.155099999999,4386,9029,3846,2788.8696999999884,BTC,9221.61,9421.54,9578.74,9141.0,313,-1,7,-0.05222976395250184
65,1572912000,970,1638,897,435.06259999999946,4394,5971,3431,1065.1157999999964,BTC,9421.54,9323.61,9495.36,9196.64,300,1,9,0.11799822954822956
66,1572998400,788,1455,834,418.7655999999997,3858,6286,3432,1369.5689999999965,BTC,9323.61,9347.27,9455.53,9269.82,291,-1,8,-0.028747240259740237
67,1573084800,795,1394,773,371.16479999999984,3281,5784,3380,1581.6057999999914,BTC,9347.27,9208.52,9382.63,9114.14,258,-1,6,-0.05495913194444447
68,1573171200,781,1382,853,347.06759999999963,3681,5831,3481,1476.1352000000015,BTC,9208.52,8772.31,9263.83,8682.74,273,1,8,-0.19669841288919412
69,1573257600,575,1056,678,294.2444000000001,2535,4863,3175,1456.1352999999986,BTC,8772.31,8822.19,8881.08,8732.62,204,1,3,0.2708966666666667
70,1573344000,544,1040,600,287.06159999999943,2339,4876,2577,1561.3855000000033,BTC,8822.19,9045.85,9126.98,8767.94,198,-1,2,0.13999444444444445
71,1573430400,679,1324,711,391.9632999999997,2653,5276,2948,1680.9134000000006,BTC,9045.85,8726.31,9084.49,8619.78,305,1,3,0.25079761904761905
72,1573516800,692,1323,759,387.3763000000001,2638,5482,3799,1766.8963999999978,BTC,8726.31,8815.14,8868.85,8576.09,284,-1,5,0.1256676111111111
73,1573603200,627,1246,716,385.4413999999997,3261,5015,2567,1321.7157999999965,BTC,8815.14,8773.82,8840.33,8721.68,295,-1,11,0.1109828823953824
74,1573689600,848,1496,828,402.3244999999996,3270,7351,3133,2584.8650999999923,BTC,8773.82,8640.42,8811.04,8584.92,280,-1,13,0.1506919810744811
75,1573776000,818,1434,874,393.80210000000005,3625,6232,3967,1707.9435999999946,BTC,8640.42,8468.57,8773.4,8393.29,348,1,12,-0.07498348383098384
76,1573862400,600,1016,719,263.51650000000075,2719,5006,3367,1382.3101999999988,BTC,8468.57,8498.94,8539.42,8442.03,253,1,5,0.22497520823798628
77,1573948800,566,1112,691,344.32149999999945,2949,5529,2911,1482.442099999999,BTC,8498.94,8515.28,8641.12,8411.3,217,-1,10,0.004043846032338444
78,1574035200,658,1075,695,274.6260000000006,3444,4594,3146,883.6133999999995,BTC,8515.28,8190.16,8537.87,8075.63,255,-1,11,-0.08565979846208456
79,1574121600,857,1469,878,393.0726999999997,4265,6644,4116,1476.1270000000006,BTC,8190.16,8133.57,8215.95,8016.54,310,-1,12,0.1515135803998633
80,1574208000,656,1271,676,371.6157999999992,3130,6122,2744,1812.1261999999995,BTC,8133.57,8093.6,8232.23,8047.73,294,-1,12,0.16959150252525257
81,1574294400,729,1395,932,401.4213999999997,3619,6791,3695,1850.8374999999967,BTC,8093.6,7632.59,8133.73,7437.33,347,-1,11,0.15458802068302066
82,1574380800,942,1535,979,384.69029999999987,4565,6041,4171,1091.771599999995,BTC,7632.59,7292.2,7721.9,6815.03,329,1,5,-0.15324992424242426
83,1574467200,574,1048,681,303.18770000000006,2147,4211,2891,1306.9001999999934,BTC,7292.2,7339.24,7368.18,7119.41,228,-1,1,-0.027883333333333354
84,1574553600,631,1146,701,319.64809999999994,2521,4912,2754,1490.7216999999982,BTC,7339.24,6930.09,7364.59,6888.89,217,1,1,0.22243571428571426
85,1574640000,796,1502,929,458.05049999999926,3111,5762,3587,1679.5055000000061,BTC,6930.09,7138.23,7386.06,6560.13,342,1,7,0.05719032402434658
86,1574726400,722,1372,827,403.34479999999945,3204,6769,3453,2071.2198999999955,BTC,7138.23,7170.11,7350.44,7042.5,281,1,10,-0.03671506818181817
87,1574812800,852,1393,783,353.4817000000004,3789,5716,3241,1327.9377000000004,BTC,7170.11,7531.5,7681.51,6873.1,338,-1,7,-0.052262207792207804
88,1574899200,575,1084,684,311.7512000000005,2298,4311,2815,1257.0105000000015,BTC,7531.5,7442.33,7663.45,7388.79,264,1,0,0.0
89,1574985600,650,1269,958,395.3510000000005,2750,5491,3922,1736.670199999999,BTC,7442.33,7769.38,7872.17,7425.49,304,-1,4,-0.12001357549857553
90,1575072000,710,1343,923,390.85410000000013,2671,4596,3702,1361.9469000000004,BTC,7769.38,7571.77,7821.01,7487.1,197,-1,9,0.006818886572346347
91,1575158400,695,1164,666,288.6987000000008,2959,5523,2782,1471.8349999999982,BTC,7571.77,7420.53,7575.5,7261.95,214,-1,3,-0.053128456790123464
92,1575244800,940,1564,887,404.23059999999947,4068,6379,3254,1586.1529000000005,BTC,7420.53,7320.94,7442.62,7193.09,318,-1,7,0.057177763537631966
93,1575331200,772,1399,799,397.8919999999997,3544,6346,3839,1788.7514999999935,BTC,7320.94,7313.64,7420.34,7260.93,324,-1,5,0.24112442063492065
94,1575417600,868,1528,962,429.84219999999993,4412,6597,4946,1553.0740000000005,BTC,7313.64,7207.78,7764.68,7110.76,280,1,3,0.013930208333333324
95,1575504000,731,1370,759,416.50600000000014,3089,6561,3205,2356.9833999999937,BTC,7207.78,7406.75,7492.96,7175.85,272,1,5,-0.06732121367521368
96,1575590400,753,1363,803,377.5641999999994,2947,5320,3046,1483.5389000000016,BTC,7406.75,7558.58,7607.79,7323.86,259,-1,6,0.18375482142857139
97,1575676800,589,968,564,246.74120000000042,2274,3804,2186,1046.1772000000014,BTC,7558.58,7514.86,7640.51,7503.1,216,1,3,0.17048421245421244
98,1575763200,548,970,652,251.0721000000005,2420,4175,2653,977.2395999999981,BTC,7514.86,7539.7,7594.8,7414.51,197,-1,3,-0.036448333333333326
99,1575849600,665,1053,612,249.05380000000028,3258,4517,2512,815.1571999999999,BTC,7539.7,7350.62,7667.04,7296.42,238,-1,8,-0.08606070175438596
100,1575936000,694,1249,785,335.9947,2749,5198,2982,1438.7671999999984,BTC,7350.62,7233.84,7403.64,7176.42,282,-1,3,0.20633828282828282
101,1576022400,651,1117,649,300.502400000001,3252,4486,2630,856.6429999999979,BTC,7233.84,7212.01,7284.74,7167.13,262,-1,6,0.027267975080475085
102,1576108800,641,1095,611,294.017700000001,2714,4542,2593,1149.7196999999987,BTC,7212.01,7199.39,7307.96,7105.35,261,1,2,0.25120803571428574
103,1576195200,611,1160,605,345.3174,2783,4785,2593,1266.2108000000019,BTC,7199.39,7261.72,7308.08,7199.39,207,-1,8,0.05610864206259426
104,1576281600,559,936,528,240.4305000000002,2775,4850,2858,1179.404999999998,BTC,7261.72,7080.29,7283.78,7033.14,185,1,4,0.1860190365190365
105,1576368000,630,1149,586,328.9108000000008,3510,4626,2493,614.5342000000028,BTC,7080.29,7132.39,7204.93,7030.37,195,-1,7,0.21736185142238712
106,1576454400,1105,1591,797,315.7677000000002,5342,6965,3440,909.8797000000003,BTC,7132.39,6897.33,7172.46,6869.19,278,-1,9,-0.14578607142857145
107,1576540800,1060,1474,917,269.32809999999995,4994,6620,3802,1169.1065000000074,BTC,6897.33,6635.84,6948.12,6585.46,278,1,6,-0.09413726851851852
108,1576627200,804,1386,863,360.42580000000083,4070,5831,3396,1107.4516,BTC,6635.84,7294.53,7442.26,6450.69,281,-1,6,0.0031730555555555726
109,1576713600,691,1159,709,322.28170000000017,2758,5311,2581,1844.8168999999994,BTC,7294.53,7159.26,7376.98,7057.66,262,1,5,0.22568777777777776
110,1576800000,636,1178,659,344.52679999999987,2850,5024,2863,1312.973099999999,BTC,7159.26,7203.41,7234.56,7094.06,242,-1,7,-0.01064085757379875
111,1576886400,453,924,564,280.9009000000006,2069,3999,2781,1189.9491999999989,BTC,7203.41,7159.47,7213.86,7132.82,175,1,5,0.11043149328449328
112,1576972800,364,675,377,195.2368,1481,2562,1514,739.2799000000017,BTC,7159.47,7517.58,7527.4,7143.17,173,-1,4,0.07445821757643446
113,1577059200,602,1074,628,301.8726000000003,2725,4786,2497,1230.3450999999975,BTC,7517.58,7326.6,7694.65,7275.28,247,-1,5,0.06509905205905206
114,1577145600,560,1001,581,270.46910000000025,2283,3677,2233,979.3878999999988,BTC,7326.6,7260.91,7429.42,7175.5,206,-1,1,0.11781428571428572
115,1577232000,555,884,550,213.50110000000026,2373,3733,2303,907.3617000000016,BTC,7260.91,7202.72,7280.52,7132.3,156,1,2,-0.18964814814814815
116,1577318400,810,1335,859,329.5363999999996,4451,5797,3349,802.4812999999989,BTC,7202.72,7207.23,7442.21,7167.44,201,1,3,0.09544538647342997
117,1577404800,526,938,588,272.3307000000006,2315,4014,2090,1197.6486999999995,BTC,7207.23,7253.82,7267.46,7061.61,191,1,0,0.0
118,1577491200,455,844,467,217.3810000000002,2019,3377,2118,741.4628000000004,BTC,7253.82,7316.23,7368.09,7253.61,215,1,0,0.0
119,1577577600,519,920,526,239.13430000000068,1988,3726,1982,1000.7553000000007,BTC,7316.23,7399.49,7540.65,7295.33,162,-1,0,0.0
120,1577664000,610,1175,699,374.4844000000004,3443,5313,3164,1464.6430999999966,BTC,7399.49,7234.44,7414.07,7224.79,228,-1,4,0.2575568410165484
121,1577750400,666,1108,626,263.0812000000001,2877,4923,2798,1259.3074999999994,BTC,7234.44,7183.88,7325.24,7141.94,188,1,4,0.02053789855072463
122,1577836800,530,937,607,264.1110000000002,2575,4383,2475,1126.5138000000027,BTC,7183.88,7189.94,7267.16,7171.82,163,-1,5,0.08852958939781447
123,1577923200,793,1283,743,318.9298999999998,3281,5167,2675,1304.713600000003,BTC,7189.94,6965.72,7224.84,6945.83,240,1,7,0.06570249122229536
