time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,sum_pos_s,sum_neg_s,comp_ns,neg_s,pos_s,neu_s,comp_s,coin,open,close,high,low,label
1570406400.0,24,49,49,27.341500000000003,-17.131999999999994,187.51530000000008,-34.53119999999999,18.775500000000005,136,307,328,144.4180999999999,XRP,0.2556,0.2766,0.2818,0.254,1
1570492800.0,40,61,57,34.5125,-31.6278,186.7477,-66.95830000000001,18.539500000000004,209,347,247,104.13459999999992,XRP,0.2766,0.2781,0.2857,0.2715,1
1570579200.0,26,69,51,36.65679999999999,-21.68740000000001,214.54009999999997,-39.86600000000001,25.77439999999999,112,390,314,163.7916999999999,XRP,0.2781,0.2818,0.2875,0.2739,-1
1570665600.0,4,46,25,21.516000000000005,-3.4962000000000004,84.83519999999997,-14.687999999999999,19.767900000000004,35,198,154,68.39910000000002,XRP,0.2818,0.2713,0.2825,0.2658,-1
1570752000.0,19,44,31,23.7917,-15.7506,101.84839999999996,-30.4759,15.910700000000002,96,192,105,63.491499999999974,XRP,0.2713,0.2679,0.276,0.2652,1
1570838400.0,16,19,10,10.160700000000002,-12.6108,69.68840000000002,-51.0107,3.8362,140,122,46,12.3341,XRP,0.2679,0.273,0.2775,0.2679,1
1570924800.0,23,48,33,26.8376,-16.321399999999993,163.00800000000004,-34.00830000000001,18.50179999999999,122,281,128,120.87010000000004,XRP,0.273,0.2779,0.2822,0.2719,1
1571011200.0,44,103,68,55.4374,-39.65299999999998,269.28770000000003,-75.02529999999997,35.5686,224,497,464,174.46379999999994,XRP,0.2779,0.2978,0.2984,0.2771,-1
1571097600.0,13,41,37,22.283,-12.9192,141.64020000000005,-10.303399999999998,15.8032,32,243,230,124.83679999999994,XRP,0.2978,0.2885,0.2995,0.2835,-1
1571184000.0,37,67,42,33.417100000000005,-28.253799999999984,162.8177,-94.6149,19.114600000000006,225,352,169,54.0673,XRP,0.2885,0.2838,0.2922,0.2788,1
1571270400.0,29,84,60,46.23609999999999,-23.560599999999994,226.05999999999986,-44.02760000000001,34.4945,146,415,341,170.4714,XRP,0.2838,0.302,0.304,0.2803,-1
1571356800.0,30,56,44,34.64320000000001,-25.142199999999985,202.4737,-53.67330000000002,22.17060000000001,161,325,190,136.52950000000004,XRP,0.302,0.2947,0.3024,0.2851,-1
1571443200.0,6,39,19,20.8802,-4.2254,164.1066,-3.4488000000000003,18.7389,20,301,112,158.2305,XRP,0.2947,0.2922,0.2996,0.2879,1
1571529600.0,15,28,28,15.678100000000002,-13.3464,46.93169999999998,-9.6151,8.9921,40,85,81,31.068999999999992,XRP,0.2922,0.2948,0.2971,0.2817,-1
1571616000.0,19,39,33,18.0742,-16.971600000000002,80.4045,-27.5236,9.1722,82,191,183,44.54409999999999,XRP,0.2948,0.293,0.2949,0.2891,-1
1571702400.0,17,41,32,22.453100000000006,-14.793000000000005,95.07599999999998,-19.1332,14.9233,56,167,65,68.7312,XRP,0.293,0.29100000000000004,0.3033,0.2887,-1
1571788800.0,62,69,52,33.703,-54.26580000000003,111.22059999999986,-101.8756,6.595899999999999,289,221,140,-17.762099999999997,XRP,0.29100000000000004,0.2738,0.2917,0.2501,1
1571875200.0,26,43,32,21.6562,-22.8418,98.7552,-50.4838,10.235300000000006,123,200,122,36.85049999999999,XRP,0.2738,0.2769,0.2809,0.267,1
1571961600.0,46,97,80,50.56659999999998,-39.743900000000025,221.2003000000001,-74.30720000000002,29.93010000000001,212,419,483,128.1878999999999,XRP,0.2769,0.2988,0.3083,0.2753,-1
1572048000.0,24,59,34,30.46130000000001,-22.3457,143.91949999999997,-32.20719999999999,18.4649,86,312,161,101.4146,XRP,0.2988,0.2948,0.3146,0.2842,1
1572134400.0,25,43,27,22.0213,-22.176799999999997,82.01559999999995,-24.1816,10.9716,85,148,136,46.977799999999974,XRP,0.2948,0.2992,0.303,0.2906,-1
1572220800.0,27,38,35,20.5379,-23.655899999999995,84.16049999999997,-51.45810000000001,7.968499999999998,131,188,162,21.61590000000001,XRP,0.2992,0.2948,0.3054,0.2942,1
1572307200.0,35,67,58,39.8788,-32.082899999999995,234.9624,-51.06700000000001,23.4584,147,373,286,168.05229999999997,XRP,0.2948,0.3026,0.3101,0.2947,-1
1572393600.0,35,62,48,32.64010000000001,-28.932,144.70840000000004,-57.57679999999999,18.1594,188,270,211,72.6589,XRP,0.3026,0.2952,0.3064,0.2905,-1
1572480000.0,22,32,38,16.504,-17.349999999999994,73.10699999999993,-37.3092,7.854799999999997,125,168,163,27.30340000000001,XRP,0.2952,0.2948,0.2989,0.2886,-1
1572566400.0,18,45,10,24.1213,-20.7324,99.90959999999995,-65.1569,13.755100000000004,126,194,55,24.3865,XRP,0.2948,0.2924,0.2951,0.2852,1
1572652800.0,19,37,21,19.6129,-15.983499999999989,49.9842,-58.13890000000001,11.132600000000007,122,91,129,-15.735299999999995,XRP,0.2924,0.2952,0.2983,0.2915,-1
1572739200.0,25,45,40,24.923000000000005,-26.1408,105.7868999999999,-22.6867,11.861599999999996,75,186,191,69.99749999999996,XRP,0.2952,0.2906,0.2965,0.2891,1
1572825600.0,17,29,45,14.754799999999998,-13.9266,76.00250000000003,-25.2638,7.765700000000002,90,147,271,43.6206,XRP,0.2906,0.2995,0.3008,0.2897,1
1572912000.0,26,43,34,21.1304,-19.1494,107.38979999999997,-42.35830000000001,11.605500000000005,139,215,162,55.65600000000003,XRP,0.2995,0.3011,0.3054,0.2956,1
1572998400.0,45,86,68,44.73519999999999,-39.058999999999976,211.83530000000005,-88.56499999999998,25.286600000000032,255,417,386,103.96359999999996,XRP,0.3011,0.3108,0.3135,0.2975,-1
1573084800.0,60,108,67,61.50190000000002,-54.25439999999998,373.54899999999986,-96.444,34.4708,280,630,292,250.5365000000002,XRP,0.3108,0.2904,0.3159,0.2758,-1
