time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,sum_pos_s,sum_neg_s,comp_ns,neg_s,pos_s,neu_s,comp_s,coin,open,close,high,low,label,n_news,avg_news_compound
1553904000.0,19,54,31,29.70670000000001,-18.319599999999994,108.37889999999993,-15.169,20.55880000000001,54,200,123,83.96019999999997,XRP,0.3096,0.3128,0.3198,0.309,-1,1,0.09990000000000004
1553990400.0,17,41,13,20.3219,-13.902000000000001,103.72939999999996,-37.0542,13.3709,89,198,45,59.72419999999999,XRP,0.3128,0.3109,0.3131,0.309,1,2,0.13602461538461535
1554076800.0,27,47,28,25.9584,-26.82039999999999,127.7561,-48.7619,12.177400000000002,126,210,65,65.8852,XRP,0.3109,0.3134,0.3155,0.3092,1,1,0.08025000000000003
1554163200.0,50,96,78,54.97969999999997,-35.7929,361.14040000000017,-93.182,37.0321,291,597,403,250.53380000000013,XRP,0.3134,0.3545,0.3606,0.3122,-1,3,0.3830878787878788
1554249600.0,57,107,76,53.107,-53.907599999999974,296.0544000000002,-157.8733,26.135000000000023,334,590,368,111.43249999999986,XRP,0.3545,0.3426,0.3746,0.3269,-1,3,0.3718988461538461
1554336000.0,44,75,50,35.27199999999999,-39.768,180.8826,-80.01439999999998,15.368900000000002,210,363,212,80.96509999999995,XRP,0.3426,0.3314,0.3494,0.3266,1,1,-0.03188888888888887
1554422400.0,36,77,72,39.30880000000001,-28.67870000000001,209.1807000000001,-65.7555,24.54029999999999,186,388,363,129.81619999999987,XRP,0.3314,0.3644,0.3798,0.3313,-1,2,0.1316
1554508800.0,18,39,30,17.847199999999994,-19.5854,97.82339999999996,-43.292,7.9361000000000015,85,217,130,44.98609999999998,XRP,0.3644,0.354,0.3648,0.349,1,2,0.4509785714285714
1554595200.0,9,29,16,17.138399999999994,-7.1764,98.46410000000002,-4.3418,13.550199999999998,27,167,87,90.5341,XRP,0.354,0.3638,0.3675,0.3522,-1,1,0.4589555555555555
1554681600.0,24,49,25,23.9203,-22.98299999999999,80.28709999999995,-65.42699999999999,12.399099999999995,143,150,93,3.3714000000000044,XRP,0.3638,0.3591,0.3715,0.3496,-1,1,0.11656363636363633
1554768000.0,25,52,33,28.4663,-19.9991,180.13219999999993,-29.1347,18.282599999999995,100,307,203,141.25949999999992,XRP,0.3591,0.3504,0.3596,0.3494,1,1,0.07641666666666667
1554854400.0,40,60,37,30.4302,-39.44380000000002,206.54250000000005,-109.1016,10.571000000000002,233,365,156,78.0105,XRP,0.3504,0.354,0.3618,0.3464,-1,1,0.08591249999999997
1554940800.0,27,59,45,32.5887,-19.143599999999992,185.92870000000005,-44.0771,22.922699999999992,137,353,226,130.95789999999997,XRP,0.354,0.3292,0.3542,0.3231,-1,0,0.0
1555027200.0,15,50,22,25.42710000000001,-12.284400000000002,94.07779999999997,-14.3847,19.284900000000004,59,190,74,73.55090000000001,XRP,0.3292,0.3258,0.3306,0.3186,1,2,-0.025226666666666647
1555113600.0,15,40,24,17.663800000000005,-12.448,45.93150000000001,-32.5406,11.3266,77,115,82,7.384299999999992,XRP,0.3258,0.3268,0.3378,0.3231,1,1,-0.2471625
1555200000.0,24,46,34,24.5462,-24.87320000000001,112.5082,-64.47370000000001,12.067799999999998,131,222,151,35.26350000000001,XRP,0.3268,0.3303,0.3321,0.3231,-1,1,-0.06293333333333333
1555286400.0,13,33,32,17.6425,-11.200399999999998,62.83549999999999,-6.8489,12.017499999999998,32,134,192,49.9885,XRP,0.3303,0.3194,0.3333,0.3142,1,1,0.34267142857142857
1555372800.0,18,53,20,32.67390000000001,-16.863400000000002,197.6545,-32.7536,24.24300000000001,80,293,71,156.47159999999997,XRP,0.3194,0.3263,0.3275,0.3167,1,1,0.08291999999999998
1555459200.0,30,78,65,38.70570000000001,-24.0966,146.78630000000004,-65.64710000000002,26.6352,181,296,353,68.97989999999996,XRP,0.3263,0.3368,0.3433,0.3213,1,3,0.3223040740740741
1555545600.0,38,55,49,30.0417,-37.91120000000001,108.39589999999993,-65.2954,11.060300000000007,157,216,185,24.11909999999999,XRP,0.3368,0.3371,0.3489,0.3344,-1,2,0.2408833333333333
1555632000.0,44,71,42,37.460700000000024,-54.30389999999996,120.96819999999992,-61.6037,10.2077,134,238,163,32.357699999999994,XRP,0.3371,0.3324,0.3372,0.3283,-1,1,0.1481375
1555718400.0,29,74,42,41.82989999999999,-22.4848,188.291,-35.7867,30.519500000000004,109,332,163,140.85389999999995,XRP,0.3324,0.3287,0.3346,0.3233,-1,1,0.11084285714285716
1555804800.0,34,82,32,44.88720000000002,-33.157,203.3956,-62.1293,28.3028,145,364,140,124.66419999999997,XRP,0.3287,0.3226,0.3304,0.3177,1,1,-0.053483333333333334
1555891200.0,53,90,34,48.40859999999999,-55.30499999999999,178.7669000000002,-76.72399999999998,20.7819,199,344,121,74.28720000000001,XRP,0.3226,0.3245,0.3328,0.3198,-1,2,0.15722649572649575
1555977600.0,65,116,76,58.22379999999999,-62.72279999999998,231.09590000000009,-103.1518,26.894799999999986,261,458,306,97.54080000000002,XRP,0.3245,0.3207,0.32899999999999996,0.3205,-1,1,0.2346000000000001
1556064000.0,70,121,79,63.613599999999984,-60.915199999999984,308.6388000000002,-183.745,33.13020000000001,408,608,380,94.4362,XRP,0.3207,0.3017,0.322,0.2913,-1,2,0.2827733333333333
1556150400.0,66,105,56,52.84979999999998,-58.58490000000002,234.37920000000003,-92.86079999999995,23.292300000000004,279,426,211,112.3573,XRP,0.3017,0.2879,0.3076,0.2811,1,3,0.21565479797979795
1556236800.0,33,58,38,34.5577,-34.90320000000001,106.3631999999999,-77.187,17.1613,155,181,125,11.829299999999995,XRP,0.2879,0.3003,0.3018,0.2847,-1,4,0.0034573611111110986
1556323200.0,26,16,30,7.2187,-23.7247,25.12550000000001,-63.1506,-4.675599999999998,175,60,73,-49.50670000000001,XRP,0.3003,0.2952,0.302,0.294,1,0,0.0
1556409600.0,32,49,23,27.6925,-31.00780000000001,123.53329999999998,-32.5684,12.1628,118,208,63,75.4094,XRP,0.2958,0.2983,0.3007,0.2939,-1,0,0.0
1556496000.0,20,56,34,29.3043,-18.232700000000005,136.09909999999996,-48.5636,20.100600000000004,95,257,117,78.55809999999997,XRP,0.2983,0.2956,0.3003,0.2895,1,1,0.2330909090909091
1556582400.0,28,57,35,31.40580000000001,-26.4212,165.58829999999992,-73.8144,18.0512,164,306,148,78.96549999999998,XRP,0.2956,0.3113,0.315,0.2945,-1,2,0.12450499999999999
1556668800.0,12,35,22,19.911600000000007,-9.5116,65.48980000000002,-17.374200000000002,15.155799999999996,67,116,96,43.35979999999999,XRP,0.3113,0.3055,0.3137,0.3015,-1,0,0.0
1556755200.0,17,40,22,20.497400000000006,-12.173100000000002,102.9757,-26.4493,14.191399999999998,99,182,90,70.65929999999996,XRP,0.3055,0.3031,0.3081,0.3019,1,0,0.0
1556841600.0,39,65,46,35.0743,-36.68039999999999,133.94870000000006,-51.85969999999998,16.7323,145,244,178,63.7434,XRP,0.3031,0.3075,0.3128,0.3008,-1,2,-0.19602166666666665
1556928000.0,30,47,30,22.5508,-27.75179999999999,89.12669999999999,-21.5811,8.665,78,176,124,53.57069999999999,XRP,0.3075,0.3048,0.3175,0.2993,-1,0,0.0
1557014400.0,32,66,42,36.79639999999999,-25.1535,147.6132,-44.0773,23.974999999999994,137,254,106,90.99529999999996,XRP,0.3048,0.3009,0.3061,0.2998,1,0,0.0
1557100800.0,23,45,21,23.7365,-18.474200000000007,93.13729999999997,-13.259,14.4994,65,200,63,70.6412,XRP,0.3009,0.3039,0.3085,0.2959,-1,1,0.179
1557187200.0,48,96,49,51.657699999999984,-46.82279999999998,210.35669999999988,-45.2056,28.28220000000001,131,367,129,141.93040000000005,XRP,0.3039,0.2975,0.3077,0.2967,1,1,-0.046075
1557273600.0,35,74,37,46.43330000000002,-34.8738,171.76420000000005,-53.3685,28.925699999999992,143,261,86,100.86230000000003,XRP,0.2975,0.3002,0.3023,0.2954,-1,0,0.0
1557360000.0,74,102,78,51.30939999999997,-62.9298,159.18939999999978,-124.0767,19.632500000000004,327,332,300,3.6569999999999987,XRP,0.3002,0.2948,0.302,0.2925,1,2,0.03749652777777778
1557446400.0,67,125,58,67.86289999999995,-61.09479999999999,254.5015,-73.43829999999998,37.3395,200,460,232,150.56019999999995,XRP,0.2948,0.2984,0.3022,0.2913,1,1,0.18759166666666668
1557532800.0,89,173,157,95.3736999999999,-79.44759999999997,407.26190000000037,-142.16520000000003,54.76159999999997,410,761,570,226.67810000000003,XRP,0.2984,0.3216,0.3393,0.2978,-1,1,0.43705
1557619200.0,83,131,99,66.71749999999997,-70.27539999999999,280.5737000000001,-114.75520000000004,31.25520000000002,350,499,345,130.73219999999992,XRP,0.3216,0.3107,0.3302,0.3054,1,0,0.0
1557705600.0,100,170,122,82.86689999999996,-82.42479999999993,309.3166999999997,-107.37059999999997,41.63699999999999,355,630,402,160.77609999999984,XRP,0.3107,0.324,0.3307,0.3083,1,4,0.17446369047619045
1557792000.0,138,366,292,186.98920000000007,-110.77849999999998,1053.8571000000018,-207.5486,131.5546999999999,753,2036,1587,791.2316999999997,XRP,0.324,0.4075,0.4212,0.3226,1,3,0.4011843915343915
1557878400.0,88,192,179,101.83949999999987,-77.12970000000003,595.4310000000004,-190.0066,63.13299999999996,545,1088,1033,367.5846999999994,XRP,0.4075,0.4579,0.4671,0.4071,-1,3,0.2892056878306878
1557964800.0,57,143,132,72.93529999999996,-50.99900000000003,378.5563999999998,-101.16530000000002,47.37349999999998,299,722,705,251.54900000000006,XRP,0.4579,0.419,0.4787,0.3947,-1,1,0.3482375
1558051200.0,74,161,81,87.11630000000004,-64.77999999999997,379.04219999999987,-110.06409999999998,54.72629999999997,298,688,393,236.61389999999986,XRP,0.419,0.3902,0.4237,0.3594,-1,2,-0.08844464285714285
1558137600.0,8,31,14,16.0167,-9.277399999999998,70.79209999999998,-16.7212,11.378000000000005,37,143,81,49.43220000000001,XRP,0.3902,0.3719,0.396,0.3643,1,0,0.0
1558224000.0,31,56,66,28.9322,-31.1462,131.40780000000004,-79.72770000000001,13.3381,198,266,394,36.09029999999999,XRP,0.3719,0.4185,0.4291,0.3705,-1,1,0.41056000000000004
1558310400.0,26,55,34,29.35390000000001,-21.155199999999994,187.64350000000007,-68.55539999999999,18.776300000000006,177,312,114,108.5105,XRP,0.4185,0.3993,0.4185,0.38,-1,2,0.14376688311688313
